Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
207, 8448.000000, 8596.000000, 6275.000000, 12870, 1124, 295
208, 8506.000000, 8654.000000, 6242.000000, 13073, 1151, 296
209, 8424.000000, 8572.000000, 6229.000000, 12869, 1125, 296
210, 8274.000000, 8420.000000, 6327.000000, 12539, 1159, 293
211, 8518.000000, 8666.000000, 6314.000000, 13036, 1157, 296
212, 8387.000000, 8534.000000, 6056.000000, 13012, 1147, 295
213, 8485.000000, 8632.000000, 6257.000000, 12982, 1134, 293
214, 2503.000000, 2651.000000, -4294960911.000000, 1070, 1224, 296
215, 7214.000000, 7364.000000, -4294951631.000000, 1060, 1148, 299
216, 7155.000000, 7303.000000, -4294951791.000000, 1088, 1141, 296
217, 6972.000000, 7120.000000, -4294952168.000000, 1079, 1131, 296
218, 8676.000000, 8824.000000, 6264.000000, 13351, 1131, 296
219, 7454.000000, 7602.000000, -4294951210.000000, 1079, 1128, 296
220, 8074.000000, 8222.000000, 6287.000000, 12249, 1194, 296
221, 8359.000000, 8506.000000, 6329.000000, 12697, 1154, 295
222, 7449.000000, 7597.000000, -4294951204.000000, 1070, 1132, 296
223, 8228.000000, 8377.000000, 6239.000000, 12485, 1134, 299
224, 8686.000000, 8835.000000, 6207.000000, 13441, 1138, 299
225, 7590.000000, 7738.000000, -4294950927.000000, 1067, 1128, 296
226, 2448.000000, 2596.000000, -4294948393.000000, 13486, 13746, 295
227, 8295.000000, 8445.000000, -4294949517.000000, 1082, 1135, 299
228, 8258.000000, 8406.000000, 6308.000000, 12611, 1201, 296
229, 8295.000000, 8445.000000, 6270.000000, 12589, 1134, 299
230, 8418.000000, 8567.000000, 6350.000000, 12882, 1198, 299
231, 8584.000000, 8734.000000, 6396.000000, 13177, 1202, 299
232, 7101.000000, 7251.000000, -4294951933.000000, 1082, 1121, 299
233, 8928.000000, 9077.000000, -4294948299.000000, 1135, 1138, 299
234, 8407.000000, 8554.000000, 6271.000000, 12806, 1131, 293
235, 8180.000000, 8330.000000, 6184.000000, 12413, 1118, 299
236, 8584.000000, 8732.000000, 6243.000000, 13181, 1128, 296
237, 8339.000000, 8487.000000, 6265.000000, 12684, 1135, 295
238, 8712.000000, 8860.000000, -4294948686.000000, 1076, 1131, 296
239, 9565.000000, 9712.000000, -4294946895.000000, 1152, 1211, 293
240, 7034.000000, 7183.000000, -4294952026.000000, 1080, 1141, 299
241, 2265.000000, 2413.000000, -4294936267.000000, 66, 13282, 296
242, 9627.000000, 9775.000000, 19960.000000, 1077, 891, 295
243, 9434.000000, 9582.000000, 19544.000000, 1067, 871, 296
244, 2610.000000, 2759.000000, 5953.000000, 1069, 901, 299
245, 8373.000000, 8521.000000, 5932.000000, 12582, 884, 296
246, 7213.000000, 7361.000000, 15105.000000, 1063, 871, 296
247, 8548.000000, 8696.000000, 5943.000000, 12888, 867, 296
248, 9525.000000, 9673.000000, 19724.000000, 1080, 877, 296
249, 8504.000000, 8651.000000, 6004.000000, 12800, 898, 295
250, 9285.000000, 9433.000000, 19228.000000, 1079, 868, 296
251, 6978.000000, 7126.000000, 14632.000000, 1066, 871, 296
252, 7131.000000, 7277.000000, 14921.000000, 1089, 874, 293
253, 7423.000000, 7571.000000, 15508.000000, 1073, 867, 296
254, 8749.000000, 8896.000000, 5930.000000, 13304, 868, 295
255, 2546.000000, 2694.000000, -4294960949.000000, 1060, 1157, 296
256, 2496.000000, 2644.000000, -4294960899.000000, 1220, 1312, 296
257, 8264.000000, 8414.000000, 7721.000000, 12384, 1788, 299
258, 2476.000000, 2626.000000, -4294948794.000000, 13303, 13426, 299
259, 2435.000000, 2584.000000, -4294960643.000000, 1249, 1516, 299
260, 2428.000000, 2575.000000, -4294960779.000000, 1089, 1375, 295
261, 8823.000000, 8972.000000, 5972.000000, 13404, 865, 299
262, 2483.000000, 2629.000000, -4294960969.000000, 1089, 1225, 292
263, 7307.000000, 7454.000000, 15272.000000, 1070, 864, 295
264, 7343.000000, 7491.000000, 15351.000000, 1085, 875, 296
265, 2457.000000, 2607.000000, -4294960735.000000, 1070, 1358, 299
266, 8622.000000, 8768.000000, 5926.000000, 13061, 871, 292
267, 2450.000000, 2599.000000, -4294960768.000000, 1060, 1344, 299
268, 7441.000000, 7590.000000, 15540.000000, 1070, 864, 299
269, 7450.000000, 7598.000000, 15594.000000, 1057, 875, 296
270, 8615.000000, 8764.000000, 5936.000000, 13036, 871, 299
271, 7386.000000, 7534.000000, 15447.000000, 1073, 874, 296
272, 2466.000000, 2615.000000, -4294960852.000000, 1070, 1291, 299
273, 2477.000000, 2627.000000, -4294958534.000000, 1085, 2446, 299
274, 2500.000000, 2648.000000, -4294960861.000000, 1064, 1249, 295
275, 2467.000000, 2614.000000, -4294961013.000000, 1048, 1198, 293
276, 2438.000000, 2586.000000, -4294960844.000000, 1089, 1332, 296
277, 8597.000000, 8748.000000, 5925.000000, 12992, 861, 302
278, 8732.000000, 8880.000000, 5929.000000, 13269, 867, 296
279, 2472.000000, 2619.000000, -4294960680.000000, 1064, 1368, 295
280, 2452.000000, 2600.000000, -4294961031.000000, 1089, 1225, 296
281, 7251.000000, 7399.000000, 15157.000000, 1067, 861, 296
282, 8807.000000, 8955.000000, 5938.000000, 13464, 894, 296
283, 2465.000000, 2613.000000, -4294960819.000000, 1083, 1315, 296
284, 2500.000000, 2650.000000, -4294960977.000000, 1164, 1241, 299
285, 7175.000000, 7324.000000, 15033.000000, 1079, 881, 299
286, 8772.000000, 8920.000000, 5960.000000, 13326, 871, 296
287, 7376.000000, 7523.000000, 15598.000000, 1063, 954, 293
288, 8586.000000, 8734.000000, 5918.000000, 13030, 888, 296
289, 2474.000000, 2623.000000, -4294946931.000000, 13275, 14346, 299
290, 8664.000000, 8810.000000, 5965.000000, 13106, 871, 292
291, 7333.000000, 7482.000000, 15313.000000, 1101, 874, 299
292, 7544.000000, 7692.000000, 15740.000000, 1079, 865, 296
