Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
263, 9194.000000, 9342.000000, 18317.000000, 1089, 1018, 296
264, 8577.000000, 8725.000000, 4982.000000, 13030, 858, 296
265, 9529.000000, 9677.000000, 18876.000000, 1061, 878, 295
266, 8954.000000, 9101.000000, 17696.000000, 1067, 854, 293
267, 7513.000000, 7659.000000, 14790.000000, 1098, 861, 292
268, 8643.000000, 8791.000000, 4929.000000, 13225, 868, 296
269, 9160.000000, 9308.000000, 17779.000000, 1422, 881, 296
270, 9057.000000, 9205.000000, 17909.000000, 1079, 874, 296
271, 10076.000000, 10224.000000, 19947.000000, 1076, 871, 296
272, 9743.000000, 9892.000000, 19284.000000, 1060, 858, 299
273, 2606.000000, 2754.000000, 5146.000000, 1108, 1041, 296
274, 2703.000000, 2851.000000, -4294950350.000000, 1171, 12711, 296
275, 9376.000000, 9527.000000, 18564.000000, 1073, 884, 302
276, 8898.000000, 9046.000000, -4294948903.000000, 1152, 1748, 295
277, 9162.000000, 9311.000000, 18236.000000, 1092, 1004, 299
278, 9459.000000, 9607.000000, 18854.000000, 1079, 1014, 296
279, 9230.000000, 9378.000000, 18233.000000, 1088, 861, 296
280, 9143.000000, 9292.000000, 18091.000000, 1082, 887, 299
281, 9153.000000, 9303.000000, 18079.000000, 1079, 851, 299
282, 9447.000000, 9595.000000, 18658.000000, 1107, 871, 296
283, 7512.000000, 7660.000000, 14794.000000, 1085, 854, 296
284, 7012.000000, 7161.000000, 13979.000000, 1073, 1028, 299
285, 9179.000000, 9327.000000, 18244.000000, 1069, 955, 296
286, 2616.000000, 2766.000000, 5143.000000, 1101, 1011, 299
287, 9259.000000, 9407.000000, 18438.000000, 1092, 1012, 296
288, 2607.000000, 2755.000000, 5108.000000, 1104, 997, 296
289, 9120.000000, 9268.000000, 17989.000000, 1108, 857, 296
290, 7443.000000, 7589.000000, 14643.000000, 1111, 868, 292
291, 9051.000000, 9199.000000, 17895.000000, 1064, 857, 296
292, 7429.000000, 7575.000000, 14660.000000, 1083, 884, 292
293, 7518.000000, 7664.000000, 14811.000000, 1089, 864, 293
294, 2649.000000, 2797.000000, 5164.000000, 1095, 961, 296
295, 2625.000000, 2773.000000, 5192.000000, 1077, 1018, 295
296, 2772.000000, 2921.000000, 5097.000000, 1444, 997, 299
297, 2603.000000, 2750.000000, 5131.000000, 1067, 991, 293
298, 7666.000000, 7814.000000, 15033.000000, 1161, 861, 296
299, 9066.000000, 9215.000000, 18040.000000, 1073, 981, 299
300, 8671.000000, 8819.000000, 5012.000000, 13222, 891, 296
301, 9128.000000, 9276.000000, 18028.000000, 1082, 854, 296
302, 7127.000000, 7275.000000, 14005.000000, 1110, 861, 296
303, 8502.000000, 8648.000000, 16790.000000, 1089, 874, 292
304, 2602.000000, 2748.000000, 5042.000000, 1111, 948, 292
305, 9374.000000, 9522.000000, 18617.000000, 1095, 964, 296
306, 9276.000000, 9422.000000, 18497.000000, 1063, 1008, 293
307, 2631.000000, 2781.000000, 5180.000000, 1091, 1008, 299
308, 9398.000000, 9546.000000, 18569.000000, 1085, 858, 296
309, 8975.000000, 9123.000000, 17686.000000, 1108, 844, 296
310, 9173.000000, 9322.000000, 18128.000000, 1079, 861, 299
311, 9052.000000, 9200.000000, 17854.000000, 1101, 851, 296
312, 9221.000000, 9369.000000, 18209.000000, 1101, 868, 296
313, 9168.000000, 9318.000000, 18034.000000, 1158, 855, 299
314, 9061.000000, 9209.000000, 17878.000000, 1092, 848, 296
315, 8574.000000, 8722.000000, 16951.000000, 1066, 868, 296
316, 8695.000000, 8846.000000, -4294949330.000000, 1070, 1645, 302
317, 2619.000000, 2767.000000, 5183.000000, 1086, 1031, 296
318, 9292.000000, 9440.000000, 18517.000000, 1082, 1015, 296
319, 2615.000000, 2763.000000, 5150.000000, 1092, 1011, 296
320, 9377.000000, 9525.000000, 18537.000000, 1104, 887, 296
321, 9147.000000, 9294.000000, 18081.000000, 1064, 851, 295
322, 7316.000000, 7464.000000, 14391.000000, 1095, 854, 296
323, 9329.000000, 9478.000000, 18420.000000, 1092, 854, 299
324, 7457.000000, 7605.000000, 14671.000000, 1104, 861, 296
325, 9295.000000, 9442.000000, 18376.000000, 1089, 874, 293
326, 9211.000000, 9359.000000, 18167.000000, 1110, 854, 296
327, 7335.000000, 7483.000000, 14421.000000, 1101, 851, 296
328, 9474.000000, 9622.000000, 18719.000000, 1083, 854, 296
329, 10314.000000, 10462.000000, 20090.000000, 1570, 1031, 296
330, 9138.000000, 9287.000000, 18145.000000, 1082, 951, 299
331, 9141.000000, 9289.000000, 18058.000000, 1079, 854, 296
332, 8699.000000, 8847.000000, 4994.000000, 13262, 858, 296
333, 8603.000000, 8751.000000, 5044.000000, 13007, 844, 296
334, 8373.000000, 8521.000000, 16497.000000, 1098, 848, 296
335, 9332.000000, 9480.000000, 18451.000000, 1102, 888, 296
336, 7196.000000, 7344.000000, 13789.000000, 1501, 897, 296
337, 7341.000000, 7490.000000, 14493.000000, 1067, 878, 299
338, 9272.000000, 9420.000000, 18323.000000, 1083, 861, 296
339, 9435.000000, 9584.000000, 18803.000000, 1079, 1012, 299
340, 8304.000000, 8452.000000, 5059.000000, 12608, 1058, 296
341, 7334.000000, 7482.000000, 14538.000000, 1095, 964, 295
342, 8297.000000, 8443.000000, 5155.000000, 12451, 1012, 293
343, 8535.000000, 8685.000000, 5911.000000, 12822, 1662, 299
344, 7356.000000, 7504.000000, 14514.000000, 1076, 878, 296
345, 8593.000000, 8741.000000, 5091.000000, 12979, 884, 296
346, 9427.000000, 9575.000000, 18639.000000, 1086, 871, 296
347, 7498.000000, 7645.000000, 14780.000000, 1077, 861, 295
348, 7225.000000, 7373.000000, 14197.000000, 1110, 857, 296
349, 9028.000000, 9177.000000, 17796.000000, 1101, 841, 299
350, 7753.000000, 7899.000000, 15231.000000, 1133, 858, 292
351, 2647.000000, 2795.000000, 5209.000000, 1104, 1018, 296
352, 8623.000000, 8771.000000, 4994.000000, 13127, 874, 296
353, 7042.000000, 7190.000000, 13890.000000, 1076, 881, 296
354, 8667.000000, 8813.000000, 5024.000000, 13168, 858, 293
