Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
169, 7915.000000, 8065.000000, -4294950222.000000, 1073, 1158, 300
170, 7307.000000, 7453.000000, -4294951538.000000, 1092, 1118, 293
171, 8751.000000, 8897.000000, 6319.000000, 13559, 1188, 293
172, 2451.000000, 2599.000000, -4294960600.000000, 1196, 1495, 297
173, 8568.000000, 8714.000000, 6315.000000, 13203, 1191, 293
174, 2470.000000, 2617.000000, -4294960427.000000, 1261, 1595, 294
175, 2508.000000, 2655.000000, -4294960006.000000, 1070, 1672, 294
176, 2465.000000, 2612.000000, -4294960545.000000, 1261, 1541, 294
177, 2458.000000, 2605.000000, -4294960566.000000, 1196, 1505, 294
178, 2494.000000, 2639.000000, -4294960513.000000, 1189, 1492, 291
179, 2500.000000, 2647.000000, -4294960513.000000, 1236, 1509, 294
180, 7620.000000, 7766.000000, -4294950882.000000, 1076, 1125, 293
181, 8248.000000, 8394.000000, 6259.000000, 12507, 1135, 293
182, 2486.000000, 2633.000000, -4294960395.000000, 1268, 1598, 294
183, 7427.000000, 7573.000000, -4294951261.000000, 1089, 1135, 293
184, 2460.000000, 2609.000000, -4294960400.000000, 1287, 1631, 297
185, 2491.000000, 2638.000000, -4294960545.000000, 1196, 1482, 294
186, 2490.000000, 2639.000000, -4294960369.000000, 1230, 1588, 297
187, 2466.000000, 2613.000000, -4294960517.000000, 1265, 1556, 294
188, 8296.000000, 8441.000000, 6389.000000, 12733, 1265, 291
189, 7131.000000, 7280.000000, -4294951834.000000, 1091, 1145, 297
190, 7127.000000, 7274.000000, -4294951687.000000, 1069, 1212, 294
191, 2473.000000, 2620.000000, -4294960550.000000, 1265, 1532, 294
192, 8402.000000, 8547.000000, 6287.000000, 12919, 1201, 291
193, 2510.000000, 2656.000000, -4294960459.000000, 1227, 1522, 293
194, 7123.000000, 7270.000000, -4294951832.000000, 1079, 1148, 293
195, 2477.000000, 2624.000000, -4294960495.000000, 1130, 1488, 293
196, 2429.000000, 2575.000000, -4294960544.000000, 1217, 1555, 291
197, 2465.000000, 2611.000000, -4294960407.000000, 1397, 1678, 293
198, 2515.000000, 2662.000000, -4294960410.000000, 1275, 1565, 293
199, 2472.000000, 2619.000000, -4294960512.000000, 1205, 1522, 294
200, 2434.000000, 2583.000000, -4294960567.000000, 1176, 1518, 297
201, 8819.000000, 8965.000000, 6400.000000, 13602, 1182, 293
202, 7286.000000, 7435.000000, -4294951539.000000, 1092, 1138, 297
203, 2488.000000, 2634.000000, -4294960401.000000, 1246, 1582, 291
204, 2443.000000, 2590.000000, -4294960613.000000, 1227, 1512, 294
205, 2498.000000, 2644.000000, -4294960487.000000, 1259, 1536, 293
206, 8548.000000, 8693.000000, 6296.000000, 13083, 1141, 290
207, 8564.000000, 8711.000000, 6346.000000, 13165, 1191, 293
208, 2444.000000, 2589.000000, -4294960626.000000, 1215, 1498, 290
209, 8243.000000, 8390.000000, 6323.000000, 12514, 1175, 293
210, 2470.000000, 2617.000000, -4294960408.000000, 1303, 1625, 293
211, 8673.000000, 8820.000000, 6354.000000, 13394, 1201, 294
212, 2462.000000, 2610.000000, -4294960648.000000, 1212, 1468, 296
213, 2520.000000, 2669.000000, -4294960571.000000, 1306, 1495, 297
214, 2548.000000, 2695.000000, -4294960350.000000, 1287, 1568, 293
215, 2492.000000, 2639.000000, -4294960511.000000, 1230, 1515, 294
216, 2442.000000, 2589.000000, -4294960549.000000, 1202, 1532, 294
217, 8722.000000, 8868.000000, 6369.000000, 13511, 1218, 293
218, 2464.000000, 2611.000000, -4294960542.000000, 1173, 1499, 294
219, 7332.000000, 7480.000000, -4294951301.000000, 1063, 1197, 297
220, 2454.000000, 2601.000000, -4294960264.000000, 1554, 1839, 294
221, 8573.000000, 8719.000000, 6358.000000, 13026, 1119, 293
222, 2484.000000, 2631.000000, -4294960486.000000, 1237, 1539, 293
223, 8734.000000, 8881.000000, 6311.000000, 13439, 1141, 294
224, 2451.000000, 2598.000000, -4294960411.000000, 1296, 1639, 293
225, 8659.000000, 8808.000000, 6403.000000, 13272, 1178, 297
226, 2495.000000, 2641.000000, -4294960387.000000, 1293, 1606, 293
227, 2475.000000, 2621.000000, -4294960503.000000, 1249, 1546, 293
228, 2469.000000, 2616.000000, -4294960212.000000, 1532, 1839, 294
229, 7517.000000, 7665.000000, -4294950923.000000, 1063, 1201, 297
230, 8410.000000, 8558.000000, 6331.000000, 12859, 1185, 297
231, 8372.000000, 8518.000000, 6383.000000, 12725, 1182, 293
232, 7114.000000, 7261.000000, -4294951878.000000, 1073, 1131, 293
233, 8513.000000, 8660.000000, 6344.000000, 12944, 1131, 294
